product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"ძმარი ღვინის ""ოდა"" სუფრის",0,0,0.5,0,2.4,19,0,0.2,0,95,0,1,0
"ძმარი ვაშლის ""გემო""",0,0,0.5,0,3.5,21,0,0.9,0,105,0,4.5,0
"ძმარი ღვინის ""ოდა"" ნატურალური",0,0,0.5,0,2.65,19,0,0.2,0,95,0,1,0
"სოუსი ლიმონის ""გემო""",0,0,0.5,0,3.5,25,0.1,2.5,0.1,125,0.5,12.5,0.5
"შაქარი ""ზოგე""",0,1,0,0,1.95,400,0,100,0,4000,0,1000,0
"შაქარი ""ზოგე""",0,2,0,0,3.99,400,0,100,0,8000,0,2000,0
"შაქრის პუდრა ""იამუნა""",0,0.1,0,0,1.6,399,0,99.8,0,399,0,99.8,0
"შაქარი ყავისფერი ""ლერწმის""",0,0.8,0,0,5.49,380,0,98,0.1,3040,0,784,0.8
"შაქარი ნატეხი ""აზერ შაქარი""",0,0.15,0,0,1.8,400,0,100,0,600,0,150,0
"მარილი ""ზოგე"" სუფრის",0,1,0,0,0.95,0,0,0,0,0,0,0,0
"მარილი ""ზოგე"" იოდიზირებული",0,0.75,0,0,0.85,0,0,0,0,0,0,0,0
"მარილი ""ჯეო"" სვანური",0,0.05,0,0,1.5,45,1.2,6.5,1.8,22.5,0.6,3.25,0.9
"მარილი ""ზოგე"" იოდიზირებული (პლ)",0,0.5,0,0,2.5,0,0,0,0,0,0,0,0
"მარილი ""ჰიმალაი"" მუყაო",0,0.4,0,0,5.75,0,0,0,0,0,0,0,0
"მაკარონი ""რეგია"" სპაგეტი",0,0.5,0,0,4.1,350,1.2,71,12,1750,6,355,60
"მაკარონი ""რეგია"" ფუსილი",0,0.5,0,0,4.1,350,1.2,71,12,1750,6,355,60
დონა კიარა ნიჟარა,0,0.5,0,0,3.5,355,1.5,71,11.5,1775,7.5,355,57.5
დონა კიარა ფუსილი,0,0.5,0,0,3.5,355,1.5,71,11.5,1775,7.5,355,57.5
დონა კიარა პენე რიგატე,0,0.5,0,0,3.5,355,1.5,71,11.5,1775,7.5,355,57.5
პასტა დი რიზი ფარფალე,0,0.4,0,0,0.99,350,1.1,77,7.5,1400,4.4,308,30
დონა კიარა ფეტუჩი,0,0.5,0,0,4.95,355,1.5,71,11.5,1775,7.5,355,57.5
პასტა დი რიზი პენე რიგატე,0,0.4,0,0,0.99,350,1.1,77,7.5,1400,4.4,308,30
რეგია ვერმიშელი,0,0.5,0,0,4.1,360,1.3,73,12.5,1800,6.5,365,62.5
პასტა დი რიზი ვერმიშელი,0,0.4,0,0,0.99,350,1.1,77,7.5,1400,4.4,308,30
დონა კიარა სპაგეტი,0,0.5,0,0,3.5,350,1.5,71,11.5,1750,7.5,355,57.5
პასტა დი როზი სპაგეტი,0,0.4,0,0,0.99,360,1.3,73,12.5,1440,5.2,292,50
"დონა კიარა: ლაზანიას ფირფიტები	0.5 კგ	0	0.5	0	0	6.5	351	1.5	71	12
მანანის ბურღულეული სონიშკო""",0,0.5,0,0,2.9,328,1,67,10.3,1640,5,335,51.5
"მანანის ბურღულეული ""ალტაისკაია სკაზა""",0,0.7,0,0,2.6,333,1,70.6,10.3,2331,7,494.2,72.1
"ბრინჯი ბასმათი ""ლალქილა""",0,1,0,0,8.95,345,0,78,6.7,3450,0,780,67
"ბრინჯი გრძელი ""ზოგე""",0,1,0,0,2.5,349,0.7,78.9,6.7,3490,7,789,67
"ბრიჯი დაორთქლილი ""ზოგე""",0,1,0,0,2.55,341,0.6,77,7,3410,6,770,70
"ბრიჯი მრგვალი ""ზოგე""",0,0.5,0,0,1.95,332.9,2.53,70.25,7.3,1664.5,12.65,351.25,36.5
"წიწიბურა ""ზოგე""",0,1,0,0,2.05,354.9,2.89,70.64,11.6,3549,28.9,706.4,116
"წიწიბურა ""ალტაისკაია სკაზა""",0,0.8,0,0,3.95,329,3.3,61,12.6,2632,26.4,488,100.8
"ლობიო ""ზოგე""",0,1,0,0,4.9,279.8,2,47,20.96,2798,20,470,209.6
"ლობიო გურულა ""ზოგე""",0,0.8,0,0,6.85,279.8,2,47,20.96,2238.4,16,376,167.68
"კუსკუსი ""ნატურალსი""",0,0.35,0,0,5.5,356,0.6,72.4,12.8,1246,2.1,253.4,44.8
"ოსპი ""ზოგე""",0,0.8,0,0,4.5,350,1.1,60,25,2800,8.8,480,200
"ბარდა ""ალტაისკაია სკაზა""",0,0.8,0,0,2.55,323,1.6,48.3,20.5,2584,12.8,386.4,164
